"fincode","year_end","net_profit","net_sales_ttm","net_sales_2yr","interest_earned_growth_percentage_cons_3year","net_profit_growth_percentage_cons_3year","operating_profit_growth_percentage_cons_3year","profit_after_tax_growth_percentage_cons_3year","profit_before_tax_growth_percentage_cons_3year","eps_growth_percentage_cons_3year","net_sales_growth_percentage_cons_3year","operating_profit_margin_growth_percentage_cons_3year","net_margin_growth_percentage_cons_3year"
130579,201903,"3.213","83.66499999999999","20.42",NULL,"-14.546663451491092","-36.81697968680135","-9.949523264796378","-12.83287087715792","23.025491476741024","60.01573567895206","-75.12597882486652","-64.70549627744731"
131433,201203,NULL,NULL,"1.17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109152,202103,"30.702999999999996","550.453","279.77",NULL,"328.7776806238841","71.22387440745894","163.9296086631266","287.1327529000032","66.29517657639292","25.306336614866076","-13.919203156838943","33.09430885692759"
100464,202103,"-25.259","723.147","686.73",NULL,NULL,"-17.736651640524958",NULL,NULL,NULL,"1.7372957495244812","-49.06239546304052",NULL
106690,202103,"-70.474","1704.895","1235.14",NULL,NULL,"3.237582910909942",NULL,NULL,NULL,"11.342375686204132","-41.58960680334862",NULL
292711,202103,"118.481","978.725","297.99",NULL,"1005.1939233670364","101.90194486693657","396.1644670411341","318.28539798609546","200.6558321824363","48.64592134429735","-14.4341340411396","112.67783682314887"
209024,202103,"311.611","7618.233","2723.94",NULL,"51.704009016080256","28.067982740795983","32.02759285340768","31.169241095079148","-21.32692838751732","40.891752550999996","-42.737752885977265","-40.936958397755106"
123610,202103,"-568.92","1263.6299999999999","2362.18",NULL,NULL,NULL,NULL,NULL,NULL,"-18.822504807863638",NULL,NULL
130577,202103,"-3.928","11.782","16.13",NULL,NULL,"-7.900081524116132",NULL,"-4.820321729893317",NULL,"-9.94077258220878","-35.573430719836594",NULL
242563,202103,"5.101","13.311000000000002","11.13",NULL,"10.468770620011213","5.364702884592987","6.862750283358365","7.251215024113256","-45.05468379070623","6.146376429698508","-37.47235233391838","-36.26500176030125"
277204,201803,"-6.273","56.842999999999996","10.91",NULL,"-38.716730383697985","13.331040533722083","-24.380575659876147","-29.60016858882244","1.1812488550512645","73.36073782194188","68.5067050687234","54.01090011787461"
131524,200903,NULL,NULL,"1122.24",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124661,200703,NULL,NULL,"24.67",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
229280,201503,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
293705,202103,"164.43","9608.35","5599.25",NULL,"67.82570609384987","26.926069225211346","41.22307232158526","8.321055183393389","25.675419903222483","19.721730401536707","-33.21311600621294","-25.482266740802416"
100780,202103,"712.754","837.801","833.80",NULL,NULL,"12.345578392412992",NULL,NULL,NULL,"0.15969526622521268","-29.33959008360272",NULL
270879,201803,"-0.173","1.462","10.64",NULL,NULL,NULL,NULL,"-15.04992651636563",NULL,"-48.39775676308869",NULL,NULL
224818,202103,"-8.395999999999999","723.059","754.81",NULL,NULL,"-43.66287700760585",NULL,NULL,NULL,"-1.4222963799408461","-63.99781469507646",NULL
210551,202103,"18.380000000000003","11.82","124.82",NULL,NULL,"60.579892106879484",NULL,NULL,NULL,"-54.41963841267319","45.51795774095086",NULL
281271,201603,NULL,NULL,"37.87",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
