"fincode","year_end","current_net_profit","prev_net_profit","net_sales_ttm","net_sales_2yr","opm_2yr","opm_2yr_cr","prev_op","current_op","interest_earned_growth_percentage_cons_2year","net_profit_growth_percentage_cons_2year","operating_profit_growth_percentage_cons_2year","profit_after_tax_growth_percentage_cons_2year","profit_before_tax_growth_percentage_cons_2year","eps_growth_percentage_cons_2year","net_sales_growth_percentage_cons_2year","operating_profit_margin_growth_percentage_cons_2year","net_margin_growth_percentage_cons_2year"
124826,200903,NULL,"33.04",NULL,"177.52","49.506488465068884",NULL,"87.88157829999999",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101391,202203,"11.258","5.03","89.482","59.20","12.579934667238692","3.1509130327887167","7.447899999999997","11.277999999999999",NULL,"49.60517952781813","23.054960874629327","49.60517952781813","51.903347118065966","46.94854927575267","22.94390063237257","-49.95288867511374","-40.49797491110066"
251026,202203,NULL,"19.08",NULL,"914.53","3.4203121044773153",NULL,"31.279899999999998",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
254202,202203,"3.463","25.79","711.841","582.35","8.850878828809797","2.0640845357319964","51.543499999999995","58.772000000000006",NULL,"-63.356194044173485","6.78205689660869","-63.356194044173485","-68.50625260670378","-63.35160309763861","10.56036386768926","-51.70851700484186","-83.41411765797912"
112147,202203,"-3.067","-3.57","0","0.57","42.124606230311514",NULL,"0.24070000000000003","-1.2980000000000005",NULL,"7.3121560582736",NULL,"7.3121560582736","7.3121560582736","9.149930633978276","-100",NULL,"-51.74095719425069"
105537,202203,"687.4","1053.80","8294.1","8185.70","21.503353408993732","3.6547063575312575","1760.1999999999998","1212.5",NULL,"-19.23454077353679","-17.003483384822825","-19.23454077353679","-21.385877985058055","-16.069173948758042","0.6599526131439326","-58.773814977765205","-59.842529142100666"
132466,202203,"2379.6","1888.83","6846.8","5221.46","47.73874331963026","11.159227668399836","2492.657","3056.2",NULL,"12.242038126073783","10.728553040092926","12.242038126073783","14.43541457952524","11.88339227938362","14.511167703978511","-51.65165885381797","-51.47419222543037"
208494,202103,"1.9309999999999998","-5.02","0","28.51","1.1422196808379999",NULL,"0.32560000000000144","-2.1390000000000002",NULL,NULL,NULL,NULL,NULL,NULL,"-100",NULL,NULL
121242,202203,"-0.7070000000000001","0.91","1.957","3.19","-8.677374827456402","-2.5421563617782326","-0.2766000000000002","-0.19900000000000004",NULL,NULL,"15.179573804845282",NULL,NULL,NULL,"-21.675059921858132","45.87387316443273",NULL
294276,201603,NULL,"2.66",NULL,"40.69","14.02476635628853",NULL,"5.707000000000001",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100850,202203,"2038.0900000000001","-222.40","8334.539999999999","3056.22","13.243483780617888","8.537273802753363","404.75","2846.1700000000005",NULL,NULL,"165.17769398746842",NULL,NULL,NULL,"65.1385667126664","-19.71054997441466",NULL
119602,202203,"64.011","70.45","982.894","842.67","12.428481977469744","2.656466516226572","104.73124410000003","104.44100000000003",NULL,"-4.679391248254161","-0.13866228347414467","-4.679391248254161","-7.170824404062226","-5.120624979492961","8.00020393711607","-53.767952289781505","-55.88399780990102"
121248,202203,"55.830999999999996","125.12","616.922","788.33","21.65956746700581","4.073205364697643","170.74850000000004","100.51399999999998",NULL,"-33.200327159782425","-23.27536526363787","-33.200327159782425","-29.11131471311126","-61.26111049035485","-11.537114346236365","-56.634609281280454","-62.04406838396004"
