284,"Price to Book Value Ratio 3year (back)","NaN","","pb_3year","valuation_3year_view","std",False,False,False
285,"Price to Sales Ratio 3year (back)","NaN","","ps_3year","valuation_3year_view","std",False,False,False
286,"EV / Free Cash Flow 3year (back)","NaN","","EV/FreeCashFlow_3year","valuation_3year_view","std",False,False,False
287,"EV/EBITDA Ratio 3year (back)","NaN","","EVEBITDA_3year","valuation_3year_view","std",False,False,False
290,"Accounts Payable","NaN","Cr.","trade_payables","finance_bs_1year_view","std",True,True,True
291,"Accounts Payable 3year (back)","NaN","Cr.","trade_payables_3year","finance_bs_3_year_view","std",True,True,True
292,"Accounts Receivable","NaN","Cr.","debtors","finance_bs_1year_view","std",True,True,True
293,"Accounts Receivable 3year (back)","NaN","Cr.","debtors_3year","finance_bs_3_year_view","std",True,True,True
294,"Balance sheet total","NaN","Cr.","total_applications_nf","finance_bs_1year_view","std",True,True,True
295,"Balance sheet total 3year (back)","NaN","Cr.","total_applications_nf_3year","finance_bs_3_year_view","std",True,True,True
297,"Share Holders Fund 3year (back)","NaN","Cr.","sharehoders_funds_3year","finance_bs_3_year_view","std",True,True,True
302,"Short Term Investments","NaN","Cr.","current_investments","finance_bs_1year_view","std",True,True,True
303,"Short Term Investments 3year (back)","NaN","Cr.","current_investments_3year","finance_bs_3_year_view","std",True,True,True
304,"Reserves & Surplus","NaN","Cr.","reserve","finance_bs_1year_view","std",True,True,True
305,"Reserves & Surplus 3year (back)","NaN","Cr.","reserve_3year","finance_bs_3_year_view","std",True,True,True
306,"Cash_and_Equivalent","NaN","Cr.","Cash_Bank","finance_bs_1year_view","std",True,True,True
307,"Cash_and_Equivalent 3year (back)","NaN","Cr.","Cash_Bank_3year","finance_bs_3_year_view","std",True,True,True
308,"Non Current Liabilties","NaN","Cr.","total_nonliab","finance_bs_1year_view","std",True,True,True
309,"Non Current Liabilties 3year (back)","NaN","Cr.","total_nonliab_3year","finance_bs_3_year_view","std",True,True,True
310,"Total Capital Employed","NaN","Cr.","total_capital_employed","finance_bs_1year_view","std",True,True,True
311,"Total Capital Employed 3year (back)","NaN","Cr.","total_capital_employed_3year","finance_bs_3_year_view","std",True,True,True
312,"Working Capital","NaN","Cr.","working_capital","finance_bs_1year_view","std",True,True,True
313,"Working Capital 3year (back)","NaN","Cr.","working_capital_3year","finance_bs_3_year_view","std",True,True,True
314,"Total Equity","NaN","Cr.","sharehoders_funds","finance_bs_1year_view","std",True,True,True
315,"Total Equity 3year (back)","NaN","Cr.","sharehoders_funds_3year","finance_bs_3_year_view","std",True,True,True
316,"Assets","NaN","Cr.","total_sounces_funds_nf","finance_bs_1year_view","std",True,True,True
317,"Assets 3year (back)","NaN","Cr.","total_sounces_funds_nf_3year","finance_bs_3_year_view","std",True,True,True
318,"Current Price","NaN","Rs.","ltp","price_view_new","cons",True,True,False
319,"Market Capitalization","NaN","Cr.","market_cap","price_view","cons",True,True,False
320,"21 Day SMA","NaN","Rs.","dma_21","price_view","cons",True,True,True
321,"50 Day SMA","NaN","Rs.","dma_50","price_view","cons",True,True,True
322,"100 Day SMA","NaN","Rs.","dma_100","price_view","cons",True,True,True
323,"200 Day SMA","NaN","Rs.","dma_200","price_view","cons",True,True,True
324,"LIFE TIME HIGH PRICE","NaN","Rs.","high","price_view","cons",False,False,False
325,"LIFE TIME LOW PRICE","NaN","Rs.","low","price_view","cons",False,False,False
326,"Current Price 3year (back)","NaN","Rs.","current_price_3year","price_3year_view","cons",False,False,False
327,"Market Capitalization 3year (back)","NaN","Cr.","market_cap_3year_crore","price_3year_view","cons",True,True,True
328,"21 Day SMA 3year (back)","NaN","Rs.","dma_21_3year","price_3year_view","cons",False,False,False
329,"50 Day SMA 3year (back)","NaN","Rs.","dma_50_3year","price_3year_view","cons",False,False,False
330,"100 Day SMA 3year (back)","NaN","Rs.","dma_100_3year","price_3year_view","cons",False,False,False
331,"200 Day SMA 3year (back)","NaN","Rs.","dma_200_3year","price_3year_view","cons",False,False,False
332,"High price all time 3year (back)","NaN","Rs.","all_time_high_3year","price_3year_view","cons",False,False,False
333,"Low price all time 3year (back)","NaN","Rs.","all_time_low_3year","price_3year_view","cons",False,False,False
418,"Sales Latest Quarter","NaN","Cr.","other_netsales","finance_qtr_latest_view","std",True,True,True
419,"Operating Profit Latest Quarter","NaN","Cr.","operating_profit","finance_qtr_latest_view","std",True,True,True
420,"OPM Latest Quarter","NaN","%","operating_profit_margin","finance_qtr_latest_view","std",True,True,True
